Airline,DestinationCountry
Air France,Madagascar
Swissair,Madagascar
Air France,Kenya
Air France,Kenya
Air France,Kenya
Air France,Kenya
Air France,Kenya
Air France,Kenya
Air France,Kenya
British Airways,Kenya
Emirates,Kenya
Etihad,Kenya
KLM,Kenya
KLM,Kenya
KLM,Kenya
KLM,Kenya
KLM,Kenya
KLM,Kenya
KLM,Kenya
KLM,Kenya
KLM,Kenya
KLM,Kenya
KLM,Kenya
KLM,Kenya
KLM,Kenya
KLM,Kenya
KLM,Kenya
Quantas,Kenya
Qatar Airways,Kenya
Swissair,Kenya
Turkish Airlines,Kenya
Air New Zealand,Niue
Air New Zealand,Norfolk Island
Air New Zealand,Norfolk Island
Air New Zealand,Norfolk Island
Air France,Rwanda
Air France,Rwanda
KLM,Rwanda
KLM,Rwanda
KLM,Rwanda
Qatar Airways,Rwanda
Swissair,Rwanda
Turkish Airlines,Rwanda
Emirates,Seychelles
Etihad,Seychelles
Air New Zealand,Vanuatu
Quantas,Vanuatu
Quantas,Vanuatu
Quantas,Vanuatu
Air France,Cameroon
Air France,Cameroon
Air France,Cameroon
KLM,Cameroon
KLM,Cameroon
Swissair,Cameroon
Turkish Airlines,Cameroon
Turkish Airlines,Cameroon
Turkish Airlines,Cameroon
Turkish Airlines,Cameroon
Turkish Airlines,Cameroon
British Airways,Ghana
Emirates,Ghana
Emirates,Ghana
KLM,Ghana
Swissair,Ghana
Swissair,Ghana
Turkish Airlines,Ghana
Turkish Airlines,Ghana
Qatar Airways,Mozambique
Swissair,Mozambique
Swissair,Mozambique
Swissair,Mozambique
Swissair,Mozambique
Swissair,Mozambique
Swissair,Mozambique
Swissair,Mozambique
Swissair,Mozambique
