source,target,weight
United States,Cyprus,7
United States,French Polynesia,4
United States,Jordan,7
United States,Swaziland,1
United States,Belgium,6
United States,Slovenia,2
United States,French Guiana,1
United States,Romania,6
United States,Portugal,7
United States,Martinique,1
United States,Canada,11
United States,Peru,3
United States,Isle of Man,1
United States,Croatia,4
United States,Liberia,3
United States,Lesotho,1
United States,Zambia,5
United States,Gabon,3
United States,Vanuatu,2
United States,Luxembourg,4
United States,Togo,1
United States,Montenegro,1
United States,Uruguay,2
United States,Benin,2
United States,Suriname,1
United States,United Arab Emirates,15
United States,Palau,2
United States,Poland,8
United States,Cayman Islands,1
United States,Guadeloupe,1
United States,Congo (Brazzaville),3
United States,Mauritius,4
United States,Panama,2
United States,Maldives,7
United States,Greece,8
United States,Israel,4
United States,Nepal,5
United States,Mexico,6
United States,Spain,8
United States,Afghanistan,2
United States,Malawi,3
United States,Cote d'Ivoire,4
United States,Mali,2
United States,Sudan,4
United States,Dominican Republic,3
United States,Virgin Islands,3
United States,Finland,5
United States,Norway,5
United States,Ethiopia,6
United States,United Kingdom,15
United States,Comoros,2
United States,Uganda,7
United States,Azerbaijan,4
United States,Indonesia,11
United States,Bangladesh,6
United States,Laos,2
United States,Bermuda,1
United States,Saudi Arabia,10
United States,Mongolia,1
United States,Algeria,6
United States,Cuba,3
United States,Burkina Faso,3
United States,Zimbabwe,6
United States,Kuwait,8
United States,Sri Lanka,7
United States,Macedonia,1
United States,Central African Republic,1
United States,Turks and Caicos Islands,1
United States,Niue,1
United States,Chad,2
United States,Cameroon,4
United States,France,11
United States,Tanzania,6
United States,Tajikistan,1
United States,Somalia,1
United States,Lithuania,2
United States,Tunisia,4
United States,Moldova,1
United States,Taiwan,7
United States,Jamaica,4
United States,Norfolk Island,1
United States,Cambodia,2
United States,Barbados,2
United States,Hungary,6
United States,Philippines,10
United States,Turkey,10
United States,Russia,11
United States,Namibia,2
United States,Guam,2
United States,South Africa,12
United States,Pakistan,6
United States,Haiti,1
United States,Argentina,6
United States,Vietnam,10
United States,Botswana,1
United States,Czech Republic,6
United States,Brazil,9
United States,Ireland,7
United States,Djibouti,3
United States,Jersey,2
United States,Mauritania,2
United States,Thailand,13
United States,Switzerland,12
United States,Papua New Guinea,1
United States,Honduras,1
United States,Sierra Leone,3
United States,Kenya,9
United States,Colombia,1
United States,Germany,15
United States,China,14
United States,Uzbekistan,1
United States,Guatemala,2
United States,Mozambique,2
United States,Ukraine,5
United States,Rwanda,5
United States,Hong Kong,15
United States,South Korea,12
United States,Qatar,10
United States,Italy,9
United States,Estonia,2
United States,Saint Kitts and Nevis,1
United States,Macau,1
United States,Netherlands,8
United States,Burma,4
United States,Costa Rica,3
United States,Saint Lucia,3
United States,Armenia,1
United States,Yemen,1
United States,Nigeria,9
United States,Senegal,4
United States,Malaysia,10
United States,Fiji,3
United States,Bosnia and Herzegovina,1
United States,Seychelles,3
United States,Samoa,1
United States,Sweden,8
United States,Puerto Rico,3
United States,Georgia,4
United States,Morocco,7
United States,Japan,14
United States,South Sudan,1
United States,Bulgaria,4
United States,Burundi,1
United States,Singapore,15
United States,Australia,14
United States,Austria,7
United States,Angola,5
United States,Netherlands Antilles,2
United States,Latvia,3
United States,Ecuador,2
United States,Malta,4
United States,Bahamas,2
United States,Iraq,4
United States,Egypt,9
United States,Tonga,1
United States,Cook Islands,1
United States,Iran,4
United States,India,13
United States,Turkmenistan,1
United States,Denmark,8
United States,Brunei,1
United States,Chile,4
United States,Madagascar,2
United States,Equatorial Guinea,3
United States,Guinea,1
United States,Ghana,5
